timestamp_ns,phase_sin,phase_cos,cmd_linear_x,cmd_linear_y,cmd_angular_z,left_contact,right_contact,base_euler_x,base_euler_y,base_euler_z,base_ang_vel_x,base_ang_vel_y,base_ang_vel_z,action_left_hip_pitch_joint,pos_left_hip_pitch_joint,vel_left_hip_pitch_joint,effort_left_hip_pitch_joint,pos_des_raw_left_hip_pitch_joint,pos_des_lpf_left_hip_pitch_joint,tau_des_raw_left_hip_pitch_joint,tau_des_lpf_left_hip_pitch_joint,is_parallel_left_hip_pitch_joint,action_left_hip_roll_joint,pos_left_hip_roll_joint,vel_left_hip_roll_joint,effort_left_hip_roll_joint,pos_des_raw_left_hip_roll_joint,pos_des_lpf_left_hip_roll_joint,tau_des_raw_left_hip_roll_joint,tau_des_lpf_left_hip_roll_joint,is_parallel_left_hip_roll_joint,action_left_hip_yaw_joint,pos_left_hip_yaw_joint,vel_left_hip_yaw_joint,effort_left_hip_yaw_joint,pos_des_raw_left_hip_yaw_joint,pos_des_lpf_left_hip_yaw_joint,tau_des_raw_left_hip_yaw_joint,tau_des_lpf_left_hip_yaw_joint,is_parallel_left_hip_yaw_joint,action_left_knee_pitch_joint,pos_left_knee_pitch_joint,vel_left_knee_pitch_joint,effort_left_knee_pitch_joint,pos_des_raw_left_knee_pitch_joint,pos_des_lpf_left_knee_pitch_joint,tau_des_raw_left_knee_pitch_joint,tau_des_lpf_left_knee_pitch_joint,is_parallel_left_knee_pitch_joint,action_left_ankle_pitch_joint,pos_left_ankle_pitch_joint,vel_left_ankle_pitch_joint,effort_left_ankle_pitch_joint,pos_des_raw_left_ankle_pitch_joint,pos_des_lpf_left_ankle_pitch_joint,tau_des_raw_left_ankle_pitch_joint,tau_des_lpf_left_ankle_pitch_joint,is_parallel_left_ankle_pitch_joint,action_left_ankle_roll_joint,pos_left_ankle_roll_joint,vel_left_ankle_roll_joint,effort_left_ankle_roll_joint,pos_des_raw_left_ankle_roll_joint,pos_des_lpf_left_ankle_roll_joint,tau_des_raw_left_ankle_roll_joint,tau_des_lpf_left_ankle_roll_joint,is_parallel_left_ankle_roll_joint,action_right_hip_pitch_joint,pos_right_hip_pitch_joint,vel_right_hip_pitch_joint,effort_right_hip_pitch_joint,pos_des_raw_right_hip_pitch_joint,pos_des_lpf_right_hip_pitch_joint,tau_des_raw_right_hip_pitch_joint,tau_des_lpf_right_hip_pitch_joint,is_parallel_right_hip_pitch_joint,action_right_hip_roll_joint,pos_right_hip_roll_joint,vel_right_hip_roll_joint,effort_right_hip_roll_joint,pos_des_raw_right_hip_roll_joint,pos_des_lpf_right_hip_roll_joint,tau_des_raw_right_hip_roll_joint,tau_des_lpf_right_hip_roll_joint,is_parallel_right_hip_roll_joint,action_right_hip_yaw_joint,pos_right_hip_yaw_joint,vel_right_hip_yaw_joint,effort_right_hip_yaw_joint,pos_des_raw_right_hip_yaw_joint,pos_des_lpf_right_hip_yaw_joint,tau_des_raw_right_hip_yaw_joint,tau_des_lpf_right_hip_yaw_joint,is_parallel_right_hip_yaw_joint,action_right_knee_pitch_joint,pos_right_knee_pitch_joint,vel_right_knee_pitch_joint,effort_right_knee_pitch_joint,pos_des_raw_right_knee_pitch_joint,pos_des_lpf_right_knee_pitch_joint,tau_des_raw_right_knee_pitch_joint,tau_des_lpf_right_knee_pitch_joint,is_parallel_right_knee_pitch_joint,action_right_ankle_pitch_joint,pos_right_ankle_pitch_joint,vel_right_ankle_pitch_joint,effort_right_ankle_pitch_joint,pos_des_raw_right_ankle_pitch_joint,pos_des_lpf_right_ankle_pitch_joint,tau_des_raw_right_ankle_pitch_joint,tau_des_lpf_right_ankle_pitch_joint,is_parallel_right_ankle_pitch_joint,action_right_ankle_roll_joint,pos_right_ankle_roll_joint,vel_right_ankle_roll_joint,effort_right_ankle_roll_joint,pos_des_raw_right_ankle_roll_joint,pos_des_lpf_right_ankle_roll_joint,tau_des_raw_right_ankle_roll_joint,tau_des_lpf_right_ankle_roll_joint,is_parallel_right_ankle_roll_joint,clip_count,imu_quat_w,imu_quat_x,imu_quat_y,imu_quat_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,imu_accel_x,imu_accel_y,imu_accel_z
1785812369860502034,0,1,0,0,0,1,1,0.01404999,0.021798476,1.7727298,-0.0012651892,0.00019624481,0.00099564056,0.17971087,0.39452696,0.003068924,1.8315048,0.48985543,0.39474902,nan,nan,0,-0.11569896,0.044773579,0.003068924,1.8803406,-0.007849478,0.044650995,nan,nan,0,-0.036525525,-0.31092358,0.015343666,0.41513824,-0.32826276,-0.31096397,nan,nan,0,-0.27609259,0.51801443,0.003068924,-8.3760681,0.35195371,0.5176276,nan,nan,0,0.10424067,-0.21120342,0.0019226085,1.832558,-0.15787966,nan,1.8634476,0.004340827,1,0.072343379,0.0021517473,8.7315558e-07,-1.0936473,0.03617169,nan,1.020597,0.00237744,1,0.099221855,-0.39797831,0.0092058182,-0.31745911,-0.35038907,-0.39786745,nan,nan,0,0.17154077,-0.047266483,0.003068924,-0.36630249,0.035770383,-0.047073052,nan,nan,0,0.11823379,0.30766392,0.003068924,0.80586243,0.3691169,0.30780707,nan,nan,0,-0.20578265,0.51897287,-0.0092058182,-9.0598297,0.38710867,0.5186657,nan,nan,0,0.38906664,-0.20894186,-1.3277847e-06,-0.89694521,-0.015466682,nan,6.7716331,0.01577425,1,-0.17279676,0.0017973292,-0.0031516221,-0.76055795,-0.086398378,nan,-2.6411438,-0.0061524394,1,0,0.63223797,-0.004003,0.012333,0.774665,-0.0012651892,0.00019624481,0.00099564056,-0.079347998,0.103905,9.7622032
1785812369870262720,0,1,0,0,0,1,1,0.014029649,0.021794875,1.7727231,-8.4718283e-05,0.0016345533,8.7266464e-06,0.14721678,0.39452696,0.003068924,0.90354156,0.47360839,0.4256751,nan,nan,0,-0.082105875,0.044773579,0.003068924,0.75701904,0.0089470625,0.027597471,nan,nan,0,0.001274839,-0.31092358,0.003068924,0.073257446,-0.30936258,-0.31655193,nan,nan,0,-0.25055015,0.51820612,0.027618408,-4.1269836,0.36472492,0.46371867,nan,nan,0,0.088138171,-0.21120344,-0.011532355,0.74081791,-0.16593091,nan,1.6018368,0.61008497,1,0.077245869,0.0021517473,0.015759152,-0.42795382,0.038622934,nan,1.0704969,0.33546609,1,0.15537807,-0.39797831,0.003068924,-0.073257446,-0.32231096,-0.38234444,nan,nan,0,0.16897002,-0.047266483,0.003068924,-0.36630249,0.034485009,-0.020104596,nan,nan,0,0.026227728,0.30766392,-0.003068924,0.46398163,0.32311386,0.32766063,nan,nan,0,-0.15801239,0.51916456,0.027618408,-3.8339462,0.4109938,0.47589014,nan,nan,0,0.41036656,-0.20894186,0.0019198447,-0.19473288,-0.0048167175,nan,7.1415001,2.216191,1,-0.16886175,0.0017973292,2.2334291e-06,-0.38038588,-0.084430873,nan,-2.5868494,-0.86381594,1,0,0.63224,-0.0040079998,0.012324,0.77466297,-8.4718283e-05,0.0016345533,8.7266464e-06,-0.081648998,0.098733,9.7577829
1785812369880216099,0,1,0,0,0,1,1,0.014004262,0.021810213,1.7727292,-0.00042203806,0.00039603268,0.0003010693,0.11119144,0.39452696,0.003068924,1.0500641,0.45559572,0.45955574,nan,nan,0,-0.058950931,0.04458189,-0.003068924,-0.51281738,0.020524535,0.011441143,nan,nan,0,0.054500446,-0.31092358,-0.003068924,-0.024421692,-0.28274978,-0.31748093,nan,nan,0,-0.24516979,0.51878119,0.07671833,-7.0573883,0.36741511,0.39958767,nan,nan,0,0.054954827,-0.21120355,-0.036507302,0.66261677,-0.18252259,nan,1.0585946,1.2970039,1,0.091085777,0.0025456253,0.10717915,0.094952519,0.045542888,nan,1.1291492,0.75621415,1,0.14236778,-0.39797831,0.0092058182,0.26862335,-0.32881611,-0.35367038,nan,nan,0,0.10028277,-0.047266483,0.015343666,0.95237732,0.00014138296,0.013543335,nan,nan,0,-0.0096571967,0.30766392,-0.003068924,0.70818329,0.3051714,0.33794642,nan,nan,0,-0.17244524,0.51993179,0.10126781,-6.568985,0.40377738,0.42940789,nan,nan,0,0.39257234,-0.20893454,0.057594985,1.8357835,-0.013713828,nan,6.7463325,5.1135014,1,-0.16765872,0.0016005298,0.009519534,-0.95193988,-0.083829358,nan,-2.5771759,-1.9388917,1,0,0.63223797,-0.0040219999,0.012319,0.774665,-0.00042203806,0.00039603268,0.0003010693,-0.092136003,0.115665,9.7614479
1785812369890170295,0,1,0,0,0,1,1,0.013991479,0.021825801,1.7727165,0.003279456,-0.0015858935,-0.0012924512,0.11199465,0.39452696,0.003068924,1.8315048,0.45599733,0.4688791,nan,nan,0,-0.037558556,0.04458189,-0.003068924,-1.196579,0.031220722,0.010069588,nan,nan,0,0.025294155,-0.31111526,0.0092058182,-0.024421692,-0.29735292,-0.30507387,nan,nan,0,-0.25219843,0.51916456,0.0092058182,-11.257629,0.36390079,0.36763542,nan,nan,0,0.041313116,-0.2112002,-0.0076509658,1.0133079,-0.18934344,nan,0.77646305,1.4495369,1,0.086494349,0.003727783,0.18601105,0.3563191,0.043247174,nan,0.90656517,0.98723004,1,0.096024722,-0.39797831,0.0092058182,1.4407806,-0.35198764,-0.33338151,nan,nan,0,0.14384618,-0.047074795,0.027618408,2.2710648,0.021923092,0.020946502,nan,nan,0,-0.0041034222,0.30785561,0.021481514,1.0012207,0.30794829,0.32729625,nan,nan,0,-0.17034185,0.5210824,0.082855225,-8.7667923,0.40482908,0.40665819,nan,nan,0,0.38894877,-0.20891442,0.25337316,4.5295356,-0.015525616,nan,6.3885485,6.6537486,1,-0.16994995,-0.0023374154,-0.15418504,-1.9752918,-0.084974974,nan,-2.2478492,-2.4922839,1,0,0.63224298,-0.004032,0.012319,0.774661,0.003279456,-0.0015858935,-0.0012924512,-0.240951,0.15417001,9.5076981
1785812369900476374,0,1,0,0,0,1,0,0.014129634,0.021602043,1.7726104,0.01779269,-0.041535205,-0.028635808,0.1616233,0.39452696,0.003068924,2.2222214,0.48081165,0.46477981,nan,nan,0,0.013722867,0.044390202,-0.0092058182,-1.3431015,0.056861433,0.018436899,nan,nan,0,0.03122966,-0.31092358,0.027618408,0.17093658,-0.29438517,-0.29577883,nan,nan,0,-0.26452252,0.51878119,-0.064442635,-14.041512,0.35773874,0.35859136,nan,nan,0,-0.02024737,-0.21119766,0.10772645,0.97394438,-0.22012369,nan,-0.47400048,1.1830786,1,0.077932194,0.0072737805,0.28068001,0.85540829,0.038966097,nan,0.52974948,0.9955119,1,0.024279162,-0.39778662,0.015343666,1.3431015,-0.38786042,-0.33381289,nan,nan,0,0.11030131,-0.046691418,0.046030998,2.2222214,0.0051506542,0.019526948,nan,nan,0,-0.040311269,0.30766392,-0.015343666,0.80586243,0.28984437,0.31464372,nan,nan,0,-0.18965355,0.52146578,0.003068924,-10.72039,0.39517323,0.4000184,nan,nan,0,0.3368482,-0.20274195,0.5080812,5.9804009,-0.0415759,nan,4.8786898,6.8485754,1,-0.15566491,-0.001677341,-0.33971208,-2.2866204,-0.077832453,nan,-1.7750852,-2.5085622,1,0,0.63228399,-0.0039009999,0.012302,0.77462798,0.01779269,-0.041535205,-0.028635808,0.13937201,0.230496,9.2153139
1785812369910245852,0.34930718,-0.93700827,0.4,0,0,1,0,0.014349809,0.021133413,1.7721434,0.016022332,-0.034792317,-0.058069638,0.22488317,0.39452696,0.003068924,2.0268631,0.51244158,0.46759483,nan,nan,0,-0.39069259,0.044390202,-0.015343666,-0.75701904,-0.1453463,0.034656458,nan,nan,0,-0.027295135,-0.3105402,0.033756256,0.31745911,-0.32364757,-0.29339585,nan,nan,0,-0.37341225,0.51782274,-0.095129967,-15.360199,0.30329387,0.35687896,nan,nan,0,-0.0023298068,-0.20911011,0.2076359,0.89658613,-0.2111649,nan,-0.38337179,0.46761115,1,0.039639309,0.010381077,0.39409375,0.52287441,0.019819655,nan,-0.30798329,0.77458002,1,0.18599039,-0.39778662,0.021481514,1.9780197,-0.3070048,-0.3543741,nan,nan,0,-0.30300042,-0.046116352,0.070580482,2.0268631,-0.20150021,0.014425173,nan,nan,0,-0.3757554,0.30747223,-0.027618408,0.41513824,0.1221223,0.30197726,nan,nan,0,-0.24655306,0.5210824,-0.046030998,-11.501831,0.36672347,0.3975687,nan,nan,0,0.17955521,-0.1965414,0.61474876,6.6908756,-0.1202224,nan,1.7490419,6.0596392,1,-0.18539773,-0.0039669737,-0.29558249,-2.7175189,-0.092698865,nan,-2.218583,-2.1773079,1,0,0.63246602,-0.0036470001,0.01224,0.77448201,0.016022332,-0.034792317,-0.058069638,0.35884899,0.14972299,9.9418907
1785812369920402912,0.2625465,-0.96491934,0.4,0,0,1,0,0.014358127,0.021027458,1.7714333,-0.017158123,0.01447063,-0.086436123,-0.051446944,0.39452696,0.003068924,2.1245422,0.37427653,0.48477471,nan,nan,0,-0.53601515,0.044198513,-0.0092058182,-0.56166077,-0.21800758,-0.01640124,nan,nan,0,-0.035909392,-0.31015635,0.03989315,0.46398163,-0.3279547,-0.30283607,nan,nan,0,-0.40205392,0.51686335,-0.10126781,-15.018318,0.28897304,0.33913707,nan,nan,0,0.071157664,-0.20701809,0.27864924,0.38968597,-0.17442117,nan,0.72291853,-0.18975043,1,0.06839782,0.016831815,0.5357718,0.59458058,0.03419891,nan,-0.28264485,0.26281075,1,0.31654418,-0.39759493,0.015343666,1.3919449,-0.24172791,-0.34944674,nan,nan,0,-0.3469179,-0.045349121,0.07671833,1.8315048,-0.22345895,-0.058689354,nan,nan,0,-0.43114099,0.30728054,-0.015343666,-0.073257446,0.094429505,0.23826435,nan,nan,0,-0.24389391,0.52050686,-0.088993073,-10.915749,0.36805305,0.3865356,nan,nan,0,0.10397109,-0.19238541,0.52041982,6.735043,-0.15801446,nan,0.4223535,4.2210425,1,-0.17586313,-0.0076495315,-0.060044303,-2.4565854,-0.087931566,nan,-2.3183946,-2.0407957,1,0,0.63274097,-0.0035989999,0.012211,0.77425802,-0.017158123,0.01447063,-0.086436123,-0.024846001,0.012689,11.228529
1785812369934154372,0.14175104,-0.98990234,0.4,0,0,1,1,0.013523442,0.021792427,1.7699095,-0.05066949,0.068235391,-0.11583563,-0.22648059,0.39452696,0.003068924,2.7106247,0.28675971,0.45745157,nan,nan,0,-0.34939235,0.044006348,-0.0092058182,-3.8339462,-0.12469618,-0.11590722,nan,nan,0,0.03427054,-0.30977297,0.021481514,0.024421692,-0.29286473,-0.31672697,nan,nan,0,-0.46226773,0.51494598,-0.16877937,-15.555557,0.25886614,0.31239502,nan,nan,0,0.1450462,-0.20282604,0.28600597,-0.039166634,-0.1374769,nan,1.8582112,-0.12657726,1,0.058231764,0.021653482,0.48489923,0.14287325,0.029115882,nan,-0.50347685,-0.17570907,1,0.26271927,-0.39721155,0.027618408,1.8315048,-0.26864036,-0.3061184,nan,nan,0,-0.21320209,-0.04458189,0.046030998,-0.75701904,-0.15660104,-0.153972,nan,nan,0,-0.39181149,0.30574656,-0.23015308,-2.466423,0.11409425,0.15645902,nan,nan,0,-0.28050071,0.51820612,-0.2056036,-10.329674,0.34974964,0.3744601,nan,nan,0,0.060842052,-0.18822712,0.10317379,4.5066653,-0.17957897,nan,0.14792438,2.152664,1,-0.19347367,-0.0052511118,0.078297715,-2.1483882,-0.096736833,nan,-2.8620182,-2.1904249,1,0,0.63332897,-0.0041499999,0.012133,0.77377599,-0.05066949,0.068235391,-0.11583563,-1.1694061,-0.14955901,10.371434
1785812369940470380,0.085433694,-0.99634386,0.4,0,0,1,1,0.013196167,0.022185101,1.7693207,-0.047188278,0.070284249,-0.11906111,-0.26823801,0.39452696,0.003068924,2.1245422,0.265881,0.38121652,nan,nan,0,-0.04667294,0.043814659,-0.03989315,-4.9572678,0.02666353,-0.15981232,nan,nan,0,0.27261162,-0.30977297,-0.003068924,-0.073257446,-0.17369419,-0.31395478,nan,nan,0,-0.40597582,0.51379538,-0.21787834,-16.483513,0.28701209,0.2845928,nan,nan,0,0.25778159,-0.20072859,0.25129451,0.19530514,-0.081109203,nan,3.8097367,0.66235566,1,-0.02304141,0.023962216,0.37766344,0.1428833,-0.011520705,nan,-1.6309828,-0.40961967,1,0.15387017,-0.39701939,0.033756256,2.3199005,-0.32306492,-0.27267052,nan,nan,0,-0.087841332,-0.04458189,-0.0092058182,-2.1245422,-0.093920666,-0.18956441,nan,nan,0,-0.29463962,0.30306196,-0.48178768,-2.905983,0.16268019,0.11243905,nan,nan,0,-0.46324489,0.51667213,-0.26697731,-10.573868,0.25837756,0.36218939,nan,nan,0,0.025579356,-0.18822847,-0.066906183,3.7619333,-0.19721032,nan,-0.21400563,0.75214055,1,-0.25088075,-0.0044675918,0.031438683,-1.9814386,-0.12544037,nan,-3.6763415,-2.5116761,1,0,0.63355601,-0.004402,0.012132,0.77358902,-0.047188278,0.070284249,-0.11906111,-1.460745,0.001673,9.6334286
1785812369950242492,-0.0021771817,-0.99999763,0.4,0,0,1,1,0.012864308,0.022898545,1.7683191,-0.0033180975,0.060902602,-0.070014358,-0.20855726,0.39452696,-0.0092058182,0.21977997,0.29572137,0.30930879,nan,nan,0,0.36028478,0.042856216,-0.1258173,-5.5433426,0.23014239,-0.10343874,nan,nan,0,0.5301671,-0.30977297,0.003068924,0.024421692,-0.044916449,-0.26379163,nan,nan,0,-0.14644051,0.51091909,-0.31607723,-18.974358,0.41677975,0.27458681,nan,nan,0,0.50038064,-0.19863274,0.187854,0.89939587,0.040190318,nan,8.0770262,2.0888367,1,-0.15681762,0.026857828,0.18561603,-0.095518478,-0.078408808,nan,-3.4364231,-0.86580224,1,0.072319627,-0.39663601,0.070580482,2.7106247,-0.36384019,-0.28034415,nan,nan,0,0.27059793,-0.045157433,-0.07671833,-3.443222,0.085298967,-0.16114255,nan,nan,0,-0.073909082,0.29635048,-0.73342228,-3.1990204,0.27304546,0.1186081,nan,nan,0,-0.63341737,0.513412,-0.35903931,-11.746033,0.17329132,0.32313161,nan,nan,0,-0.076781526,-0.1923565,-0.2180601,1.3296263,-0.24839076,nan,-1.6341092,0.054505041,1,-0.36425936,-0.0090225754,-0.084548966,-2.3151389,-0.18212968,nan,-5.0663897,-3.0015792,1,0,0.63394099,-0.0047769998,0.012232,0.773269,-0.0033180975,0.060902602,-0.070014358,-1.499099,0.16426,8.5321302
