timestamp_ns,phase_sin,phase_cos,cycle_time,smoothed_speed,cmd_linear_x,cmd_linear_y,cmd_angular_z,base_euler_x,base_euler_y,base_euler_z,base_ang_vel_x,base_ang_vel_y,base_ang_vel_z,action_left_hip_pitch_joint,pos_left_hip_pitch_joint,vel_left_hip_pitch_joint,effort_left_hip_pitch_joint,pos_des_raw_left_hip_pitch_joint,pos_des_lpf_left_hip_pitch_joint,tau_des_raw_left_hip_pitch_joint,tau_des_lpf_left_hip_pitch_joint,is_parallel_left_hip_pitch_joint,action_left_hip_roll_joint,pos_left_hip_roll_joint,vel_left_hip_roll_joint,effort_left_hip_roll_joint,pos_des_raw_left_hip_roll_joint,pos_des_lpf_left_hip_roll_joint,tau_des_raw_left_hip_roll_joint,tau_des_lpf_left_hip_roll_joint,is_parallel_left_hip_roll_joint,action_left_hip_yaw_joint,pos_left_hip_yaw_joint,vel_left_hip_yaw_joint,effort_left_hip_yaw_joint,pos_des_raw_left_hip_yaw_joint,pos_des_lpf_left_hip_yaw_joint,tau_des_raw_left_hip_yaw_joint,tau_des_lpf_left_hip_yaw_joint,is_parallel_left_hip_yaw_joint,action_left_knee_pitch_joint,pos_left_knee_pitch_joint,vel_left_knee_pitch_joint,effort_left_knee_pitch_joint,pos_des_raw_left_knee_pitch_joint,pos_des_lpf_left_knee_pitch_joint,tau_des_raw_left_knee_pitch_joint,tau_des_lpf_left_knee_pitch_joint,is_parallel_left_knee_pitch_joint,action_left_ankle_pitch_joint,pos_left_ankle_pitch_joint,vel_left_ankle_pitch_joint,effort_left_ankle_pitch_joint,pos_des_raw_left_ankle_pitch_joint,pos_des_lpf_left_ankle_pitch_joint,tau_des_raw_left_ankle_pitch_joint,tau_des_lpf_left_ankle_pitch_joint,is_parallel_left_ankle_pitch_joint,action_left_ankle_roll_joint,pos_left_ankle_roll_joint,vel_left_ankle_roll_joint,effort_left_ankle_roll_joint,pos_des_raw_left_ankle_roll_joint,pos_des_lpf_left_ankle_roll_joint,tau_des_raw_left_ankle_roll_joint,tau_des_lpf_left_ankle_roll_joint,is_parallel_left_ankle_roll_joint,action_right_hip_pitch_joint,pos_right_hip_pitch_joint,vel_right_hip_pitch_joint,effort_right_hip_pitch_joint,pos_des_raw_right_hip_pitch_joint,pos_des_lpf_right_hip_pitch_joint,tau_des_raw_right_hip_pitch_joint,tau_des_lpf_right_hip_pitch_joint,is_parallel_right_hip_pitch_joint,action_right_hip_roll_joint,pos_right_hip_roll_joint,vel_right_hip_roll_joint,effort_right_hip_roll_joint,pos_des_raw_right_hip_roll_joint,pos_des_lpf_right_hip_roll_joint,tau_des_raw_right_hip_roll_joint,tau_des_lpf_right_hip_roll_joint,is_parallel_right_hip_roll_joint,action_right_hip_yaw_joint,pos_right_hip_yaw_joint,vel_right_hip_yaw_joint,effort_right_hip_yaw_joint,pos_des_raw_right_hip_yaw_joint,pos_des_lpf_right_hip_yaw_joint,tau_des_raw_right_hip_yaw_joint,tau_des_lpf_right_hip_yaw_joint,is_parallel_right_hip_yaw_joint,action_right_knee_pitch_joint,pos_right_knee_pitch_joint,vel_right_knee_pitch_joint,effort_right_knee_pitch_joint,pos_des_raw_right_knee_pitch_joint,pos_des_lpf_right_knee_pitch_joint,tau_des_raw_right_knee_pitch_joint,tau_des_lpf_right_knee_pitch_joint,is_parallel_right_knee_pitch_joint,action_right_ankle_pitch_joint,pos_right_ankle_pitch_joint,vel_right_ankle_pitch_joint,effort_right_ankle_pitch_joint,pos_des_raw_right_ankle_pitch_joint,pos_des_lpf_right_ankle_pitch_joint,tau_des_raw_right_ankle_pitch_joint,tau_des_lpf_right_ankle_pitch_joint,is_parallel_right_ankle_pitch_joint,action_right_ankle_roll_joint,pos_right_ankle_roll_joint,vel_right_ankle_roll_joint,effort_right_ankle_roll_joint,pos_des_raw_right_ankle_roll_joint,pos_des_lpf_right_ankle_roll_joint,tau_des_raw_right_ankle_roll_joint,tau_des_lpf_right_ankle_roll_joint,is_parallel_right_ankle_roll_joint,clip_count,imu_quat_w,imu_quat_x,imu_quat_y,imu_quat_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,imu_accel_x,imu_accel_y,imu_accel_z
1787123692283712305,0,1,0.35,0,0,0,0,0.029883,-0.0184512,1.98816,6.47343e-05,0.00310806,-0.000234694,0.10119,0.394144,0.00306892,1.73382,0.450595,0.394275,nan,nan,0,-0.297565,0.0488005,0.00306892,0.561661,-0.0987826,0.0484567,nan,nan,0,-0.0580899,-0.311882,0.00920582,0.65934,-0.339045,-0.311945,nan,nan,0,-0.0461708,0.526068,-0.00306892,-10.5739,0.466915,0.52593,nan,nan,0,0.292745,-0.209512,-0.00191592,-2.03262,-0.0636277,nan,5.10884,0.0119008,1,0.3171,0.00866345,-0.00628297,-4.46105,0.15855,nan,4.50603,0.0104966,1,-0.0610383,-0.396828,0.00306892,-0.952377,-0.430519,-0.396906,nan,nan,0,0.0125886,-0.0474586,0.00306892,-0.854698,-0.0437057,-0.0474499,nan,nan,0,-0.0449672,0.30939,0.00306892,0.415138,0.287516,0.309339,nan,nan,0,-0.0727916,0.52856,-0.00306892,-11.6484,0.453604,0.528386,nan,nan,0,0.0789988,-0.20908,3.90674e-06,-3.44888,-0.170501,nan,1.35028,0.00314543,1,0.0545257,-0.00667132,-0.00942112,2.40863,0.0272628,nan,1.03216,0.00240437,1,0,0.545073,0.015879,0.007494,0.838204,6.47343e-05,0.00310806,-0.000234694,0.405143,0.20027,9.72952
1787123692293412964,0,1,0.35,0,0,0,0,0.0298849,-0.0184497,1.98814,0.00132059,0.00199592,-0.00167885,0.104552,0.394144,-0.00306892,0.903542,0.452276,0.412615,nan,nan,0,-0.365847,0.0488005,0.00920582,0.415138,-0.132924,0.000440243,nan,nan,0,-0.0740999,-0.311882,0.0153437,0.21978,-0.34705,-0.320787,nan,nan,0,-0.0295767,0.526259,0.0153437,-3.88278,0.475212,0.506736,nan,nan,0,0.300825,-0.209513,0.00192261,-0.6646,-0.0595876,nan,5.24452,1.67051,1,0.332848,0.00885964,0.0376929,-1.2882,0.166424,nan,4.6704,1.47299,1,-0.0808597,-0.396828,0.00306892,-0.366302,-0.44043,-0.407873,nan,nan,0,-0.0223241,-0.0474586,0.00920582,-0.415138,-0.0611621,-0.0462716,nan,nan,0,-0.0641975,0.30939,-0.00306892,0.463982,0.277901,0.302212,nan,nan,0,-0.0673335,0.52856,0.0214806,-4.81075,0.456333,0.504045,nan,nan,0,0.067139,-0.20908,0.00956124,-1.33252,-0.17643,nan,1.1284,0.441393,1,0.0526062,-0.00667132,-0.0188533,0.930063,0.0263031,nan,1.01751,0.334842,1,0,0.545084,0.015879,0.007495,0.838197,0.00132059,0.00199592,-0.00167885,0.413352,0.18998,9.72742
1787123692303220102,0,1,0.35,0,0,0,0,0.0298834,-0.0184434,1.98812,0.000295414,0.00164101,-0.00334759,0.14874,0.394144,0.00306892,0.65934,0.47437,0.436426,nan,nan,0,-0.384322,0.0488005,-0.00920582,-1.63614,-0.142161,-0.0713581,nan,nan,0,-0.0838999,-0.312074,-0.0214806,0.0244217,-0.35195,-0.334568,nan,nan,0,-0.00356166,0.527602,0.174916,-5.68987,0.488219,0.485137,nan,nan,0,0.315393,-0.20746,0.206855,0.430589,-0.0523036,nan,5.1202,3.78246,1,0.353806,0.0119685,0.650009,0.143119,0.176903,nan,3.97302,3.27365,1,-0.101699,-0.396828,0.00306892,-0.21978,-0.45085,-0.42497,nan,nan,0,-0.00822984,-0.0472665,0.0153437,0.170937,-0.0541149,-0.0503819,nan,nan,0,-0.051272,0.309006,-0.046031,-0.0732574,0.284364,0.290109,nan,nan,0,-0.0657519,0.529711,0.14423,-5.49451,0.457124,0.474111,nan,nan,0,0.0575164,-0.207057,0.204542,-0.352063,-0.181242,nan,0.59673,0.890774,1,0.0486589,-0.00783918,-0.333019,0.811458,0.0243294,nan,1.46459,0.808256,1,0,0.54509,0.015876,0.007496,0.838193,0.000295414,0.00164101,-0.00334759,0.412512,0.193424,9.72581
1787123692313378289,0,1,0.35,0,0,0,0,0.029844,-0.0182329,1.98814,-0.00855955,0.0278764,0.00968265,0.15814,0.394144,0.00920582,1.14774,0.47907,0.457246,nan,nan,0,-0.360072,0.0486083,-0.0276184,-3.88278,-0.130036,-0.122203,nan,nan,0,-0.0842136,-0.312458,-0.046031,-0.610504,-0.352107,-0.345679,nan,nan,0,-0.00285437,0.529519,0.205604,-6.12943,0.488573,0.479213,nan,nan,0,0.332411,-0.203334,0.464981,3.01617,-0.0437945,nan,4.88641,4.88259,1,0.367066,0.0232733,1.47436,2.19757,0.183533,nan,2.59624,3.88378,1,-0.104964,-0.396828,-0.00920582,-0.757019,-0.452482,-0.440158,nan,nan,0,-0.00973029,-0.0472665,-0.00306892,0.122101,-0.0548651,-0.0544125,nan,nan,0,-0.0380507,0.308047,-0.138092,-0.0732574,0.290975,0.283255,nan,nan,0,-0.0562864,0.531436,0.168779,-7.30159,0.461857,0.458317,nan,nan,0,0.062632,-0.205026,0.315404,0.786186,-0.178684,nan,0.448856,0.871908,1,0.0384637,-0.0144946,-0.464856,0.788778,0.0192318,nan,1.70908,1.28199,1,0,0.545085,0.015777,0.007537,0.838198,-0.00855955,0.0278764,0.00968265,-0.138949,0.222128,8.57752
1787123692323332255,0,1,0.35,0,0,0,0,0.0297443,-0.0181411,1.98824,-0.0186699,-0.000972585,0.0289696,0.199773,0.394144,0.0214815,1.63614,0.499887,0.472345,nan,nan,0,-0.358031,0.0480332,-0.0644426,-5.64103,-0.129016,-0.140483,nan,nan,0,-0.0790636,-0.312841,-0.046031,-0.708183,-0.349532,-0.351524,nan,nan,0,-0.0046451,0.531245,0.181053,-5.83639,0.487677,0.48233,nan,nan,0,0.303688,-0.194983,0.713299,4.16383,-0.0581561,nan,3.71899,5.06978,1,0.384098,0.0442481,2.36278,2.70618,0.192049,nan,0.889856,3.21833,1,-0.134236,-0.397019,-0.00920582,-1.14774,-0.467118,-0.449698,nan,nan,0,-0.0273502,-0.0472665,0.00306892,0.0732574,-0.0636751,-0.0555113,nan,nan,0,-0.0410961,0.306513,-0.138092,-0.122101,0.289452,0.284282,nan,nan,0,-0.0940467,0.533162,0.14423,-9.25519,0.442977,0.45538,nan,nan,0,0.0170553,-0.198909,0.335959,0.748575,-0.201472,nan,-0.593662,0.621176,1,0.0401967,-0.0123085,-0.336017,1.00492,0.0200984,nan,1.47623,1.58925,1,0,0.545045,0.015711,0.007521,0.838225,-0.0186699,-0.000972585,0.0289696,-0.117156,0.105896,7.98336
1787123692333305747,0,1,0.35,0,0,0,0,0.0289952,-0.0189468,1.98894,-0.0709668,-0.105103,0.0734398,0.279653,0.394527,0.0337563,1.97802,0.539826,0.486206,nan,nan,0,-0.357853,0.0472665,-0.09513,-6.56898,-0.128926,-0.139443,nan,nan,0,-0.0822654,-0.313224,-0.0337563,-1.19658,-0.351133,-0.3524,nan,nan,0,-0.0336012,0.53297,0.168778,-5.9829,0.473199,0.485845,nan,nan,0,0.221212,-0.188589,0.688752,5.75476,-0.099394,nan,2.0887,4.57013,1,0.420401,0.0685084,2.68559,3.29058,0.210201,nan,0.222382,1.80002,1,-0.175497,-0.397212,-0.00920582,-1.3431,-0.487749,-0.458205,nan,nan,0,-0.0885903,-0.0474586,-0.00306892,-0.0732574,-0.0942951,-0.0583979,nan,nan,0,-0.048992,0.305363,-0.11968,-0.122101,0.285504,0.287331,nan,nan,0,-0.124085,0.534313,0.131955,-9.20635,0.427958,0.451684,nan,nan,0,-0.0516235,-0.198874,0.270955,1.10361,-0.235812,nan,-1.69926,0.118993,1,0.0328671,-0.0189622,-0.12284,1.41246,0.0164335,nan,1.24613,1.61136,1,0,0.544749,0.015842,0.006993,0.83842,-0.0709668,-0.105103,0.0734398,0.029145,0.025229,8.52631
1787123692343208859,0,1,0.35,0,0,0,0,0.0280822,-0.0199688,1.9901,-0.0515745,-0.0897785,0.184207,0.324428,0.39491,0.046031,1.88034,0.562214,0.509382,nan,nan,0,-0.375213,0.0461159,-0.0828552,-8.13187,-0.137606,-0.134034,nan,nan,0,-0.0282471,-0.313224,0.00920582,-1.29426,-0.324124,-0.351656,nan,nan,0,-0.0226497,0.535272,0.230153,-7.98535,0.478675,0.482907,nan,nan,0,0.206637,-0.184218,0.348464,6.36803,-0.106682,nan,2.19108,3.52596,1,0.42,0.0902245,1.75865,3.46809,0.21,nan,0.955282,0.62762,1,-0.198107,-0.397403,-0.0153437,-1.3431,-0.499054,-0.471415,nan,nan,0,-0.0930571,-0.0472665,0.00306892,-0.512817,-0.0965285,-0.0716743,nan,nan,0,-0.0151846,0.303829,-0.156505,-0.0732574,0.302408,0.287875,nan,nan,0,-0.126319,0.535655,0.125817,-9.45055,0.42684,0.441596,nan,nan,0,-0.0637195,-0.196811,0.112508,0.947002,-0.24186,nan,-1.74545,-0.703403,1,0.0351726,-0.0187551,-0.0316157,1.31735,0.0175863,nan,1.13766,1.42443,1,0,0.544263,0.016018,0.006341,0.838737,-0.0515745,-0.0897785,0.184207,-0.273405,0.063752,11.0415
1787123692353242363,0,1,0.35,0,0,0,0,0.0285278,-0.0208271,1.99237,0.130413,-0.0808924,0.243884,0.349683,0.395486,0.0889931,2.51526,0.574842,0.537366,nan,nan,0,-0.409808,0.0455403,-0.0337563,-7.88766,-0.154904,-0.133061,nan,nan,0,-0.00973301,-0.312458,0.0767183,-1.44078,-0.314867,-0.342406,nan,nan,0,0.00309181,0.537381,0.248566,-6.81319,0.491546,0.479212,nan,nan,0,0.201047,-0.184135,-0.0913781,4.78907,-0.109477,nan,2.75011,2.72313,1,0.396662,0.0970493,0.140899,2.50596,0.198331,nan,2.8271,0.646001,1,-0.214579,-0.397595,-0.0214806,-1.97802,-0.50729,-0.486391,nan,nan,0,-0.100562,-0.0472665,0.00306892,-1.05006,-0.100281,-0.0868078,nan,nan,0,0.0161838,0.302679,-0.0705805,-0.21978,0.318092,0.292374,nan,nan,0,-0.145246,0.536806,0.0889931,-9.35287,0.417377,0.432023,nan,nan,0,-0.0834758,-0.196813,-0.0934815,-0.0359734,-0.251738,nan,-1.78213,-1.36611,1,0.0513787,-0.0175813,0.0691361,1.24447,0.0256893,nan,1.19442,1.20736,1,0,0.543297,0.016492,0.006313,0.839354,0.130413,-0.0808924,0.243884,0.340536,1.31133,13.6041
1787123692363398030,0,1,0.35,0,0,0,0,0.030331,-0.0215362,1.9948,0.128689,0.0112759,0.245231,0.308926,0.396636,0.11968,3.24786,0.554463,0.560505,nan,nan,0,-0.369749,0.0455403,0.00920582,-7.20391,-0.134875,-0.14065,nan,nan,0,-0.0132631,-0.311882,0.046031,-1.05006,-0.316632,-0.328122,nan,nan,0,0.0200989,0.53949,0.150368,-4.56654,0.500049,0.482255,nan,nan,0,0.2374,-0.188377,-0.322187,3.43627,-0.0913002,nan,3.88096,2.59718,1,0.373197,0.0952559,-0.639253,1.58799,0.186598,nan,3.69915,1.7986,1,-0.175986,-0.397787,-0.0276184,-1.97802,-0.487993,-0.498922,nan,nan,0,-0.109431,-0.0474586,-0.00306892,-1.73382,-0.104715,-0.0965214,nan,nan,0,0.0219531,0.302679,0.0153437,-0.463982,0.320977,0.303532,nan,nan,0,-0.163674,0.537381,0.0153437,-9.15751,0.408163,0.424033,nan,nan,0,-0.0556256,-0.198878,-0.269002,-0.665296,-0.237813,nan,-0.959205,-1.65068,1,0.0426596,-0.0168097,0.0820987,1.09972,0.0213298,nan,1.02104,1.11508,1,0,0.542255,0.017271,0.006898,0.840007,0.128689,0.0112759,0.245231,0.487112,0.925479,11.5594
1787123692373330924,0,1,0.35,0,0,0,0,0.0305775,-0.0210606,1.99707,-0.045736,0.0656582,0.213493,0.256528,0.39817,0.168778,3.10134,0.528264,0.566522,nan,nan,0,-0.283618,0.0455403,0.00306892,-7.25275,-0.0918089,-0.142916,nan,nan,0,6.28158e-05,-0.312266,-0.0583057,-0.512817,-0.309969,-0.31866,nan,nan,0,-0.00319934,0.540065,0.0398932,-3.93163,0.4884,0.490322,nan,nan,0,0.257493,-0.192627,-0.431332,3.07469,-0.0812536,nan,4.54506,3.10559,1,0.379335,0.0872015,-0.849663,1.70401,0.189667,nan,4.34847,3.1084,1,-0.149556,-0.39817,-0.0398932,-2.8083,-0.474778,-0.499793,nan,nan,0,-0.115977,-0.0474586,-0.00306892,-2.3199,-0.107989,-0.102192,nan,nan,0,-0.00375548,0.302486,-0.00920582,-0.0244217,0.308122,0.314344,nan,nan,0,-0.178815,0.536806,-0.0644436,-10.4762,0.400593,0.415787,nan,nan,0,-0.0460503,-0.202989,-0.360988,-1.41146,-0.233025,nan,-0.50978,-1.45195,1,0.00909389,-0.0162461,0.251565,0.883174,0.00454695,nan,0.246443,1.03265,1,0,0.541304,0.01713,0.00715,0.840622,-0.045736,0.0656582,0.213493,-0.650802,-0.573053,6.90139
